"Product Name","Product ID","Review Text","Review Rating","Review Date","Reviewer Verified","Label"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Light weight white Nike shoes at affordable price","5.0","Jan, 2024","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Very comfortable","5.0","Oct, 2023","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Nice shoes","5.0","Nov, 2023","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5I am very happy to see the box with the best pair of shoes .The quality is top-notch and their designs are always on-trend. Whether you're into sports or just want stylish footwear 👟Nike has got you covered.Highly recommended 💯🌟🔥Perfect size in nature👍Thank you🤩🤩","5.0","10 months ago","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","4Impressive","4.0","4 months ago","Yes","neutral"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","4Not bad al all.... For this prize segment","4.0","9 months ago","Yes","neutral"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Luxury product","5.0","10 months ago","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Nice shoes","5.0","Dec, 2023","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Thank you Flipkart your product is absolutely genuine iam satisfied with your Nike shoes","5.0","Dec, 2023","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","5Good product","5.0","Dec, 2023","Yes","positive"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","3It's not like standard quality of Nike","3.0","Oct, 2023","Yes","negative"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","1Poor q","1.0","Oct, 2023","Yes","negative"
"Nike Tanjun Sneakers Men","itm8e91ca2199e63","2Average shoee","2.0","Oct, 2023","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","The product us awesome... I have bought 5 star model... It has good features and wi fi connect.. Also product quality was goodDelivery was good... But i received the product in delay of extra 7 days.. May be some issue with delivery partner...but packaging was good... More over they are doing open box delivery and cross checking if everything is fine or not...In the box you will receive copper wire,, remote with battery, manual, Indoor and outdoor unit..No outdoor unit stand has been provid...","4.0","9 months ago","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very nice and effective cooling","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Nice Product","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very good product, best price new model,Super delivery good quality material , but insulation small late otherwise I am happy5*  Buy all online only, All shopkeepers are robbed more by those who do not trust online Very Best👌 Happy Now😊","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Nice cooling, excellent instalation by Bluestar team in my city. But company should provide longer power input cable. I'm curious about the electricity consumption!","5.0","Jul, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Superb AC in this price range1) installation is good with decent charge2)packaging and the delivery is on time3)easy access to customer care for warranty registrationMake sure u install through bluestar to avail warranty4)abt this AC ,it cools at 24 itself, no need to reduce ,for a normal 950 sqft room5)Smart options working absolutely fine ,is readily available in this ACU can use mobile app,alexa or Google assistant to on and off6)I HAVE USED ALMOST 2 MONTHS AND GIVING THIS REVIEW,...","5.0","Oct, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very efficient, I suggest to buy this AC .","5.0","9 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Blue star makes every product great, best cooling, design, efficiency,reliable &good luck for future grow","4.0","Jul, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Best in class... Go for it . ... Just wow","5.0","Apr, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","VERY GOOD ...","5.0","Apr, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Worst installation team , very Unprofessional and very rude behavior and impolite . Have not fitted the condenser and after call to nearby service center no one came afteer 1 week also.","3.0","Jun, 2022","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Nice","4.0","7 months ago","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Its my First Blue star ac.... And its best silent air flow.... Cool nicely energy saving and best convertible.... 🤩","5.0","Jun, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Everything is good ...but bluestar 0.8 ton ac comes only with 1 yr PCB warranty unlike Panasonic 0.8 ton ,which offer 5 yrs...kindly cross check with the seller before purchasing","5.0","4 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","This AC is the best! It's working perfectly for both cooling and WiFi. And also working perfectly using goole assistant.","5.0","9 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Smart features take some time to start, specially it needs OTP from bluestar for registration of the application.","5.0","9 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Super for AC","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Fully happy and satisfied with this AC. I'm writing this review after using it 10 days. This AC even working best in my 170 SqFt bed room. In night time, I set it at only 40% with 24 to 27C moderated temp. In day time (Noon time) I set maximum 80% with 24C. Turbo mode cools the room within 5 to 10 minutes.","5.0","Jun, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Pros:Very solid outdoor unit and AC too.Best remote with new features, LED, Night radiant.Turning ON AC is very fast.Mobile Wifi integration.Cons:High cool option is not working properly.Connecting with Mobile is a headache process and i can able to connect only one time.It's more noise.Remote doesn't have any words.Service is not so good.","3.0","4 months ago","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","very good AC Value for money,Delivery on before time, installation on timethank you Blue star and Flipkart","5.0","6 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Too Good 😊","5.0","Mar, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Delivery & Installation- Product came in safe package and delivered before promised time. The installation was also provided on the very same day without any hassle.Product- The AC is working as expected, cooling is great, airflow is proper, convertible option is also working fine, cant say about energy efficiency at this time, hoping it to be efficient. Indoor unit is very silent, while the outdoor one is little bit noisy.","5.0","Jul, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Product looks good and working fine. Got delivery on very next day by flipkart and Installation within 02 days after delivery.Only two things I am concerned about are,1. Outdoor unit makes more noise as compared to other AC's.(Blue star AC)2. There should be provision of AC servicing either by Flipkart or by service provider/installation company.Somebody should reply on this 02 poitns.Also there is no Servicing by Flipkart, while shop owners provides 03 free servicing.","3.0","May, 2022","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Product is good. Cooling is also good. In installation some improvement is required. The hole in bricks wall is not proper. They are not using the sleeve also.Over all performance is good.","4.0","May, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","It's good looking And cooling","5.0","Mar, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Fantastic product with this economic range (29990).","5.0","Jun, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Absolute class...","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Design is good. Leak test should be performer by leak detector spray.During installation insulation and packing is weak.Overall product is good but need few improvement to make it best.","4.0","Apr, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","It could be better if provide small items like remote holder, Rubber vibration absorb bushes and brass caps for discharge and suction tubes at outdoor unit","5.0","1 month ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Delivery and installation very fast good coolingI am Happy Thank you","5.0","9 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Not as expected","3.0","Jun, 2023","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Review about ic315ynuThis is 1.2 ton 2023 model not 1.3 ton,1.3 ton mention by Flipkart is wrong informationAc is good cooling fantastic, silent operation no sound indoor unit, i write review after 10 days use, 5 in 1 feature is best for power energy saving, super fast cooling, good brand bluestar delivery fast same day installation by bluestar,, i booked installation on bluestar application charge only 700 rupees, thnx Flipkart and bluestar. Two service free of first year by bluestar not ...","5.0","May, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Cooling Good but outdoor unit so much sound noising","3.0","Sep, 2022","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","I found only pros as of now after 10 day's of use.. go for it nice product...","5.0","Aug, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very good","5.0","Jul, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Love its performance, Very much recommendable.","5.0","Jun, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Supper cooling","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","good project","5.0","10 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Good service and cooling product","5.0","Dec, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Great","5.0","Feb, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Nice","3.0","Feb, 2023","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Great AC on this price. Excellent cooling for medium size room. Fast delivery by Flipkart and fastest installation by Blue Star.","5.0","Jun, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Does instant Cooling at small rooms.Minimal noise level.Well managed energy efficiency.","5.0","May, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Don't buy noise like cooler","4.0","Apr, 2023","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Futuristic design, perfect for medium size room. Overall good result.","4.0","Jun, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","AC awesome nice cooling ,Blue Star service installation is pathetic,","4.0","8 months ago","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Just put in eco mode.. 2unit per night..","4.0","Apr, 2023","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Ac cooling was good.but the installation  charges were quite high. Overall a good one.","4.0","Jul, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very good product","4.0","Jul, 2022","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","AC IS REALLY AMAZING AND ALSO I HAVE CONNECTED WITH WIFI AND ITS REALLY WORK SOME PEOPLE ARE GIVING REVIEW THAT THIS AC DON'T HAVE A MOBILE WIFI OR APP BUT I HAVE CONNECT IT WITH THE BLUE STAR APP AND ITS REALLY WORK AND EASY TO UNDERSTAND IN APP","4.0","9 months ago","Yes","neutral"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Ac cooling not good","3.0","8 months ago","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very good installation and service","5.0","Apr, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Good product, good installation, must buy","5.0","20 days ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Good product 👍","5.0","8 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","So good 💯","5.0","8 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Cooling is very fast!! Powerful machine.Installation process was flawless","5.0","8 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very nice Product","5.0","10 months ago","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Awesome Product By Bluestar 1.3 ton AC for small room or Hall Room upto 150sq ft...Best Air Conditioner in Budget and great features.Go for it, if you like it. ⚡💯","5.0","Jul, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","The Blue Star Y series ac with 1.3 ton split is sufficient for my 144 sq. ft. room which can cool very fast. I am happy with the purchase through Flipkart ( which is of course my favourite online shopping site). The design, looks very beautiful. However  the sound of the outdoor unit compressor should have been less.","5.0","Jun, 2023","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Good product","3.0","Aug, 2022","Yes","negative"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Very good products","5.0","Aug, 2022","Yes","positive"
"Blue Star 2024 Model 0 8 Ton 3 Split Inverter Ac White","itm0addbca1ef446","Overall ok","5.0","Aug, 2022","Yes","positive"
